◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
Targets: 1224
[1/1224] ❌ abilene-christian:mens
[2/1224] ❌ abilene-christian:womens
[3/1224] ❌ alabama-am:mens
[4/1224] ❌ alabama-am:womens
[5/1224] ❌ american:mens
[6/1224] ❌ american:womens
[7/1224] ❌ appstate:mens
[8/1224] ❌ appstate:womens
[9/1224] ❌ arizonastate:mens
[10/1224] ❌ arizonastate:womens
[11/1224] ❌ arkansas-state:mens
[12/1224] ❌ arkansas-state:womens
[13/1224] ❌ auburn:mens
[14/1224] ❌ auburn:womens
[15/1224] ❌ austin-peay:mens
[16/1224] ❌ austin-peay:womens
[17/1224] ❌ ball-state:mens
[18/1224] ❌ ball-state:womens
[19/1224] ❌ baylor:mens
[20/1224] ❌ baylor:womens
[21/1224] ❌ belmont:mens
[22/1224] ❌ belmont:womens
[23/1224] ❌ bethune-cookman:mens
[24/1224] ❌ bethune-cookman:womens
[25/1224] ❌ binghamton:mens
[26/1224] ❌ binghamton:womens
[27/1224] ❌ boise-state:mens
[28/1224] ❌ boise-state:womens
[29/1224] ❌ bostoncollege:mens
[30/1224] ❌ bostoncollege:womens
[31/1224] ❌ boston-university:mens
[32/1224] ❌ boston-university:womens
[33/1224] ❌ bowling-green:mens
[34/1224] ❌ bowling-green:womens
[35/1224] ❌ bradley:mens
[36/1224] ❌ bradley:womens
[37/1224] ❌ byu:mens
[38/1224] ❌ byu:womens
[39/1224] ❌ brown:mens
[40/1224] ❌ brown:womens
[41/1224] ❌ bryant:mens
[42/1224] ❌ bryant:womens
[43/1224] ❌ bucknell:mens
[44/1224] ❌ bucknell:womens
[45/1224] ❌ butler:mens
[46/1224] ❌ butler:womens
[47/1224] ❌ cal-baptist:mens
[48/1224] ❌ cal-baptist:womens
[49/1224] ❌ cal-poly:mens
[50/1224] ❌ cal-poly:womens
[51/1224] ❌ csub:mens
[52/1224] ❌ csub:womens
[53/1224] ❌ fresno-state:mens
[54/1224] ❌ fresno-state:womens
[55/1224] ❌ csuf:mens
[56/1224] ❌ csuf:womens
[57/1224] ❌ csulb:mens
[58/1224] ❌ csulb:womens
[59/1224] ❌ csun:mens
[60/1224] ❌ csun:womens
[61/1224] ❌ campbell:mens
[62/1224] ❌ campbell:womens
[63/1224] ❌ canisius:mens
[64/1224] ❌ canisius:womens
[65/1224] ❌ ccsu:mens
